platform_name,platform_ID,IND,home_country,developer_portal_url,num_host_countries
Colombiana de Comercio SA,IH14,In-Home Consumer Electronics,Colombia,,1
El Araby Group,IH22,In-Home Consumer Electronics,Egypt,,1
Falabella SACI,IH25,In-Home Consumer Electronics,Chile,,2
Hartono Istana Teknologi PT,IH29,In-Home Consumer Electronics,Indonesia,,1
Heran Co Ltd,IH30,In-Home Consumer Electronics,Taiwan,,1
Nexgen Mediatech Inc,IH48,In-Home Consumer Electronics,Taiwan,,1
Sampo Corp,IH53,In-Home Consumer Electronics,Taiwan,,1
Shenzhen MTC Co Ltd,IH55,In-Home Consumer Electronics,China,,2
Shenzhen Skyworth-RGB Electronic Co Ltd,IH56,In-Home Consumer Electronics,China,,1
Sichuan Changhong Electric Co Ltd,IH58,In-Home Consumer Electronics,China,,4
SkyTec Group Ltd,IH61,In-Home Consumer Electronics,Netherlands,,4
Skyworth Group Co Ltd,IH62,In-Home Consumer Electronics,China,,10
Unionaire Group,IH72,In-Home Consumer Electronics,Egypt,,1
Vestel Ticaret AS,IH73,In-Home Consumer Electronics,Turkey,,1
Vityaz OAO,IH75,In-Home Consumer Electronics,Belarus,,1
Vizio Inc,IH76,In-Home Consumer Electronics,United States,,2
Yamaha Corp,IH80,In-Home Consumer Electronics,Japan,,16
ANA Group,HO20,Lodging (Destination),Japan,,5
AccorHotels Group,HO2,Lodging (Destination),France,,51
Acorn International Hotels Corp,HO3,Lodging (Destination),Philippines,,1
Airbnb Inc,HO5,Lodging (Destination),United States,,53
Albena AD,HO8,Lodging (Destination),Bulgaria,,1
Aman Resorts International,HO16,Lodging (Destination),Singapore,,2
Apple Leisure Group,HO24,Lodging (Destination),United States,,1
Arp-Hansen Hotel Group,HO28,Lodging (Destination),Denmark,,1
Atlas Group Hotles Ltd,HO34,Lodging (Destination),Croatia,,2
B&B Hotels SAS,HO40,Lodging (Destination),France,,4
Banyan Tree Holdings Ltd,HO44,Lodging (Destination),Singapore,,5
"Barceló, Grupo",HO45,Lodging (Destination),Spain,,5
Best Western International Inc,HO52,Lodging (Destination),United States,,25
Booking Holdings Inc,HO56,Lodging (Destination),United States,,29
China Lodging Group Ltd,HO68,Lodging (Destination),China,,1
China National Travel Service (HK) Group Corp,HO69,Lodging (Destination),China,,2
Choice Hotels International Inc,HO70,Lodging (Destination),United States,,15
City Lodge Hotels Ltd,HO72,Lodging (Destination),South Africa,,1
Club Méditerranée SA,HO75,Lodging (Destination),France,,2
Dalata Hotel Group Plc,HO82,Lodging (Destination),Ireland,,1
Dan Hotels Corp,HO83,Lodging (Destination),Israel,,1
Danubius Hotels Zrt,HO84,Lodging (Destination),Hungary,,3
De Historiske Hotel & Spisesteder SA,HO86,Lodging (Destination),Norway,,1
Diego de Almagro,HO89,Lodging (Destination),Chile,,1
Dusit Hotels & Resorts LLC,HO97,Lodging (Destination),Thailand,,3
EIH Ltd,HO99,Lodging (Destination),India,,2
"Erawan Group Plc, The",HO106,Lodging (Destination),Thailand,,2
Event Hospitality & Entertainment Ltd,HO109,Lodging (Destination),Australia,,2
Evergreen Group,HO110,Lodging (Destination),Taiwan,,1
Expedia Group Inc,HO111,Lodging (Destination),United States,,36
Falkensteiner Michaeler Tourism Group AG,HO112,Lodging (Destination),Austria,,3
Fattal Hotel Management Ltd,HO113,Lodging (Destination),Israel,,3
First Hotels AS,HO120,Lodging (Destination),Norway,,3
Four Seasons Hotels Ltd,HO124,Lodging (Destination),Canada,,28
G6 Hospitality LLC,HO130,Lodging (Destination),United States,,2
Genting Bhd,HO132,Lodging (Destination),Malaysia,,1
Great Eagle Holdings Ltd,HO144,Lodging (Destination),Hong Kong SAR China,,3
Hilton Worldwide Holdings Inc,HO165,Lodging (Destination),United States,,41
Hong Kong & Shanghai Hotels Ltd,HO168,Lodging (Destination),Hong Kong SAR China,,3
Hoteles Dann,HO177,Lodging (Destination),Colombia,,2
HouseTrip SA,HO183,Lodging (Destination),Switzerland,,2
Hutchison Whampoa Ltd,HO190,Lodging (Destination),Hong Kong SAR China,,1
Hyatt Hotels Corp,HO191,Lodging (Destination),United States,,30
"Iberostar SA, Grupo",HO192,Lodging (Destination),Spain,,2
Indian Hotels Co Ltd,HO195,Lodging (Destination),India,,4
InterContinental Hotels Group Plc,HO197,Lodging (Destination),United Kingdom,,50
Jin Jiang International Co Ltd,HO205,Lodging (Destination),China,,26
Kempinski AG,HO211,Lodging (Destination),Germany,,14
LVMH Moët Hennessy Louis Vuitton SA,HO227,Lodging (Destination),France,,5
Las Vegas Sands Corp,HO218,Lodging (Destination),United States,,1
"Leading Hotels of the World Ltd, The",HO220,Lodging (Destination),United States,,2
Mandarin Oriental Hotel Group Ltd,HO230,Lodging (Destination),Hong Kong SAR China,,13
Marriott International Inc,HO233,Lodging (Destination),United States,,53
Masan Group Corp,HO235,Lodging (Destination),Vietnam,,1
Meliá Hotels International SA,HO238,Lodging (Destination),Spain,,15
Millennium & Copthorne Hotels Plc,HO242,Lodging (Destination),United Kingdom,,4
Muong Thanh Group,HO250,Lodging (Destination),Vietnam,,1
NH Hotel Group SA,HO254,Lodging (Destination),Spain,,11
New World Development Ltd,HO252,Lodging (Destination),Hong Kong SAR China,,2
Olav Thon Gruppen,HO256,Lodging (Destination),Norway,,2
One Hotels & Resorts AG,HO261,Lodging (Destination),Switzerland,,2
Pickalbatros Group,HO279,Lodging (Destination),Egypt,,1
Red Sea Hotels Group,HO294,Lodging (Destination),Egypt,,1
Regal Hotels International Holdings Ltd,HO295,Lodging (Destination),Hong Kong SAR China,,1
Riu Hoteles SA,HO299,Lodging (Destination),Spain,,4
Rocco Forte & Family (Hotel Management) Ltd,HO302,Lodging (Destination),United Kingdom,,2
Rosewood Hotels & Resorts LLC,HO304,Lodging (Destination),Hong Kong SAR China,,3
Rotana Hotels Management Corp PJSC,HO305,Lodging (Destination),United Arab Emirates,,4
S Group,HO307,Lodging (Destination),Finland,,1
Sarova Hotels Ltd,HO312,Lodging (Destination),Kenya,,1
Scandic Hotels AB,HO314,Lodging (Destination),Sweden,,6
Shangri-La International Hotel Management Ltd,HO318,Lodging (Destination),Hong Kong SAR China,,16
Southern Sun Ltd,HO326,Lodging (Destination),South Africa,,1
Stichting Toekan BV,HO329,Lodging (Destination),Netherlands,,2
Sunrise Resorts & Cruises SA,HO335,Lodging (Destination),Egypt,,1
TUI Group,HO370,Lodging (Destination),Germany,,14
Travco Group Holding SAE,HO363,Lodging (Destination),Egypt,,3
TripAdvisor Inc,HO368,Lodging (Destination),United States,,4
Valamar Hotels & Resorts,HO376,Lodging (Destination),Croatia,,1
"Wharf (Holdings) Ltd, The",HO384,Lodging (Destination),Hong Kong SAR China,,2
Whitbread Plc,HO385,Lodging (Destination),United Kingdom,,1
Wyndham Hotels & Resorts Inc,HO389,Lodging (Destination),United States,,27
1More Inc,PE1,Portable Consumer Electronics,China,,2
AVenture AT,PE21,Portable Consumer Electronics,Austria,,1
Alibaba Group Holding Ltd,PE8,Portable Consumer Electronics,China,,2
AliphCom Inc,PE9,Portable Consumer Electronics,United States,,2
Anker Innovations Technology Co Ltd,PE11,Portable Consumer Electronics,China,,45
Arashi Vision Co Ltd,PE12,Portable Consumer Electronics,China,,2
Audio Partnership Plc,PE17,Portable Consumer Electronics,United Kingdom,,2
Audio Pro AB,PE18,Portable Consumer Electronics,Sweden,,3
Audio Technica Corp,PE19,Portable Consumer Electronics,Japan,,2
Bang & Olufsen A/S,PE24,Portable Consumer Electronics,Denmark,,6
Blaupunkt Group,PE29,Portable Consumer Electronics,Germany,,18
Bose Corp,PE33,Portable Consumer Electronics,United States,,42
Caliber Europe BV,PE35,Portable Consumer Electronics,Netherlands,,1
Casio Computer Co Ltd,PE36,Portable Consumer Electronics,Japan,,2
Commaxx International NV,PE40,Portable Consumer Electronics,Netherlands,,4
Cowon Systems Inc,PE43,Portable Consumer Electronics,South Korea,,2
Creative Technology Ltd,PE44,Portable Consumer Electronics,Singapore,,5
DORO AB,PE50,Portable Consumer Electronics,Sweden,,6
Devialet SA,PE45,Portable Consumer Electronics,France,,3
Divoom Europe GmbH,PE47,Portable Consumer Electronics,China,,2
Dongguan Liesheng Electronic Technology Co Ltd,PE49,Portable Consumer Electronics,China,,4
E-Boda Distribution SRL,PE51,Portable Consumer Electronics,Romania,,1
Edifier International Ltd,PE52,Portable Consumer Electronics,China,,4
Electrolux AB,PE54,Portable Consumer Electronics,Sweden,,4
Emporia Telecom GmbH & Co KG,PE57,Portable Consumer Electronics,Austria,,3
Energy Sistem Technology SA,PE58,Portable Consumer Electronics,Spain,,4
Explay ZAO,PE61,Portable Consumer Electronics,Russia,,1
Fossil Group Inc,PE65,Portable Consumer Electronics,United States,,20
GN Store Nord A/S,PE71,Portable Consumer Electronics,Denmark,,12
GP Acoustics GmbH,PE74,Portable Consumer Electronics,United Kingdom,,1
Garmin Ltd,PE67,Portable Consumer Electronics,Switzerland,,45
Gionee Communication Equipment Co Ltd,PE69,Portable Consumer Electronics,China,,2
GoPro Inc,PE72,Portable Consumer Electronics,United States,,22
HIFI Orient Thai PCL,PE79,Portable Consumer Electronics,Thailand,,1
Hisense Group,PE80,Portable Consumer Electronics,China,,42
Hon Hai Precision Industry Co Ltd,PE83,Portable Consumer Electronics,Taiwan,,28
Hungaro Flotta Kft,PE85,Portable Consumer Electronics,Hungary,,1
Imagine Marketing Pvt Ltd,PE87,Portable Consumer Electronics,India,,1
JVC Kenwood Corp,PE98,Portable Consumer Electronics,Japan,,44
Japan Industrial Partners Inc,PE95,Portable Consumer Electronics,Japan,,6
Jlab Audio international,PE97,Portable Consumer Electronics,United States,,2
Kale Elektronik Dis Tic AS,PE99,Portable Consumer Electronics,Turkey,,1
Kjell Group AB,PE100,Portable Consumer Electronics,Sweden,,2
Kodak Alaris Inc,PE101,Portable Consumer Electronics,United States,,3
Kronoz LLC,PE104,Portable Consumer Electronics,Switzerland,,6
Lautsprecher Teufel GmbH,PE107,Portable Consumer Electronics,Germany,,1
Logitech International SA,PE110,Portable Consumer Electronics,Switzerland,,29
Manta SA,PE111,Portable Consumer Electronics,Poland,,1
Marshall Amplification Plc,PE113,Portable Consumer Electronics,United Kingdom,,6
Meizu Telecom Equipment Co Ltd,PE117,Portable Consumer Electronics,China,,3
Micromax Informatics Ltd,PE120,Portable Consumer Electronics,India,,1
New Majestic SpA,PE130,Portable Consumer Electronics,Italy,,1
Nikon Corp,PE131,Portable Consumer Electronics,Japan,,39
Noise Retail Private Ltd,PE132,Portable Consumer Electronics,India,,1
Nothing Technology Ltd,PE134,Portable Consumer Electronics,United Kingdom,,2
Onkyo Corp,PE138,Portable Consumer Electronics,Japan,,30
Onyx International Inc,PE139,Portable Consumer Electronics,China,,4
Orion Electric Co Ltd,PE140,Portable Consumer Electronics,Japan,,2
PLR Ecommerce LLC,PE143,Portable Consumer Electronics,United States,,3
PocketBook International SA,PE144,Portable Consumer Electronics,Switzerland,,10
Polar Electro Oy,PE145,Portable Consumer Electronics,Finland,,22
Rakuten Group Inc,PE153,Portable Consumer Electronics,Japan,,10
Rakuten Kobo Inc,PE154,Portable Consumer Electronics,Canada,,3
SPC Group,PE181,Portable Consumer Electronics,Spain,,2
SVEN Scandinavia Ltd,PE186,Portable Consumer Electronics,Russia,,2
SZ DJI Technology Co Ltd,PE187,Portable Consumer Electronics,China,,4
Salora International BV,PE159,Portable Consumer Electronics,Netherlands,,1
Sennheiser Electronic GmbH & Co KG,PE162,Portable Consumer Electronics,Germany,,12
Shokz LLC,PE170,Portable Consumer Electronics,United States,,6
Sitecom Europe BV,PE171,Portable Consumer Electronics,Netherlands,,2
Skullcandy Inc,PE174,Portable Consumer Electronics,United States,,9
Sonos Inc,PE179,Portable Consumer Electronics,United States,,21
Soul Ltd,PE180,Portable Consumer Electronics,China,,2
Telefunken Licenses GmbH,PE193,Portable Consumer Electronics,Germany,,9
Tinno Mobile Technology Corp,PE195,Portable Consumer Electronics,China,,6
TomTom International BV,PE197,Portable Consumer Electronics,Netherlands,,31
Trust International BV,PE201,Portable Consumer Electronics,Netherlands,,4
Tura Group AB,PE203,Portable Consumer Electronics,Sweden,,3
U Watch (HK) Co Ltd,PE204,Portable Consumer Electronics,Hong Kong SAR China,,2
Unibell Argentina SA,PE205,Portable Consumer Electronics,Argentina,,1
Urbanista AB,PE206,Portable Consumer Electronics,Sweden,,4
Western Digital Corp,PE210,Portable Consumer Electronics,United States,,5
Withings SA,PE212,Portable Consumer Electronics,France,,4
XPLORA Mobile AS,PE215,Portable Consumer Electronics,Norway,,3
Yandex NV,PE216,Portable Consumer Electronics,Russia,,1
Zepp Health Corp,PE219,Portable Consumer Electronics,China,,12
Zound Industries International AB,PE221,Portable Consumer Electronics,Sweden,,3
4M Industrial Development Ltd,TG1,Traditional Toys and Games,Hong Kong SAR China,,10
999 Games BV,TG2,Traditional Toys and Games,Netherlands,,2
Alpha Group,TG10,Traditional Toys and Games,China,,3
Amigo Spiel + Freizeit Gmbh,TG14,Traditional Toys and Games,Germany,,3
Artsana Gruppo,TG23,Traditional Toys and Games,Italy,,17
Aurora World Corp,TG24,Traditional Toys and Games,South Korea,,3
BRUDER Spielwaren GmbH + Co KG,TG49,Traditional Toys and Games,Germany,,5
BanBao Co Ltd,TG27,Traditional Toys and Games,China,,2
Beijing PopMart Culture Creative Co Ltd,TG28,Traditional Toys and Games,China,,6
Bestway Inflatables & Material Corp,TG35,Traditional Toys and Games,China,,5
Biemme SpA,TG38,Traditional Toys and Games,Italy,,2
Bojeux,TG42,Traditional Toys and Games,Canada,,2
Build-A-Bear Workshop Inc,TG51,Traditional Toys and Games,United States,,2
Bullyland GmbH,TG53,Traditional Toys and Games,Germany,,2
Bushiroad Inc,TG56,Traditional Toys and Games,Japan,,2
Castor Drukarnia i Wydawnictwo Sp j,TG68,Traditional Toys and Games,Poland,,2
Cepia LLC,TG74,Traditional Toys and Games,United States,,5
Clementoni SpA,TG86,Traditional Toys and Games,Italy,,14
Cobi SA,TG87,Traditional Toys and Games,Poland,,2
Diset SA,TG112,Traditional Toys and Games,Spain,,2
Djeco SAS,TG114,Traditional Toys and Games,France,,2
Dolu Oyuncak San ve Tic AS,TG115,Traditional Toys and Games,Turkey,,2
Donerland Co Ltd,TG116,Traditional Toys and Games,South Korea,,2
"Dream Makers, Group of Cos",TG119,Traditional Toys and Games,Belarus,,2
DreamWorks Animation SKG Inc,TG120,Traditional Toys and Games,United States,,3
Edu-Science (HK) Ltd,TG127,Traditional Toys and Games,Hong Kong SAR China,,7
Embracer Group AB,TG134,Traditional Toys and Games,Sweden,,8
Epoch Co Ltd,TG138,Traditional Toys and Games,Japan,,16
Faber-Castell AG,TG140,Traditional Toys and Games,Germany,,2
Franckh-Kosmos Verlags-GmbH & CO KG,TG154,Traditional Toys and Games,Germany,,4
Funko LLC,TG158,Traditional Toys and Games,United States,,13
Funtime Toys Co Ltd,TG159,Traditional Toys and Games,Hong Kong SAR China,,2
Funville Ltd,TG160,Traditional Toys and Games,Hong Kong SAR China,,3
Genius Toy Taiwan Co Ltd,TG163,Traditional Toys and Games,Taiwan,,2
Geobra Brandstätter GmbH & Co KG,TG164,Traditional Toys and Games,Germany,,26
Giochi Preziosi SpA,TG166,Traditional Toys and Games,Italy,,13
Goliath BV,TG170,Traditional Toys and Games,Netherlands,,4
Good Time Holding GmbH,TG174,Traditional Toys and Games,Germany,,2
Granna Sp zoo,TG179,Traditional Toys and Games,Poland,,2
Grow'n Up Ltd,TG183,Traditional Toys and Games,Hong Kong SAR China,,2
Guangdong Alpha Animation & Culture Co Ltd,TG187,Traditional Toys and Games,China,,4
Guangdong Huile Toys Industrial Co Ltd,TG189,Traditional Toys and Games,China,,2
Guangdong Loongon Animation & Culture Co Ltd,TG190,Traditional Toys and Games,China,,2
Guangdong Qman Toys Industry Co Ltd,TG191,Traditional Toys and Games,China,,2
HTI Group,TG225,Traditional Toys and Games,United Kingdom,,3
Habermaass GmbH,TG199,Traditional Toys and Games,Germany,,5
Hallmark Cards Inc,TG202,Traditional Toys and Games,United States,,26
Hape Holding AG,TG207,Traditional Toys and Games,Germany,,2
Hasbro Inc,TG210,Traditional Toys and Games,United States,,32
Heinz Kettler GmbH & Co KG,TG214,Traditional Toys and Games,Germany,,2
Henes Co Ltd,TG216,Traditional Toys and Games,South Korea,,2
Hornby Plc,TG223,Traditional Toys and Games,United Kingdom,,3
Hot Toys Ltd,TG224,Traditional Toys and Games,Hong Kong SAR China,,2
Hudora GmbH,TG228,Traditional Toys and Games,Germany,,2
IMC Toys SA,TG237,Traditional Toys and Games,Spain,,5
Industrial Juguetera SA,TG240,Traditional Toys and Games,Spain,,2
Intex Recreation Corp,TG246,Traditional Toys and Games,United States,,4
JAKKS Pacific Inc,TG248,Traditional Toys and Games,United States,,9
James Galt & Co Ltd,TG249,Traditional Toys and Games,United Kingdom,,3
Jazwares Inc,TG251,Traditional Toys and Games,United States,,2
Jazwares LLC,TG252,Traditional Toys and Games,United States,,7
Jellycat Toy Co Ltd,TG255,Traditional Toys and Games,United Kingdom,,2
John GmbH,TG260,Traditional Toys and Games,Germany,,2
Jouets Ecoiffier SAS,TG263,Traditional Toys and Games,France,,3
Jovi SA,TG264,Traditional Toys and Games,Spain,,2
Jumbo Spiele GmbH,TG273,Traditional Toys and Games,Germany,,2
K'NEX Industries Ltd,TG277,Traditional Toys and Games,United States,,6
K's Kids Inc,TG278,Traditional Toys and Games,Hong Kong SAR China,,2
Kawada Co Ltd,TG282,Traditional Toys and Games,Japan,,2
Kayou (Shanghai) Cultural Creativity Co Ltd,TG283,Traditional Toys and Games,China,,1
Kiddieland Toys Ltd,TG290,Traditional Toys and Games,Hong Kong SAR China,,8
Kids II Inc,TG293,Traditional Toys and Games,United States,,3
Kinlea Holdings Pty Ltd,TG295,Traditional Toys and Games,Australia,,3
La nuova Faro Srl,TG307,Traditional Toys and Games,Italy,,2
LaRose Industries LLC,TG310,Traditional Toys and Games,United States,,3
Libellud,TG317,Traditional Toys and Games,France,,2
Liscianigiochi Spa,TG320,Traditional Toys and Games,Italy,,2
MGA Entertainment Inc,TG351,Traditional Toys and Games,United States,,29
Magarete Steiff GmbH,TG326,Traditional Toys and Games,Germany,,3
Magic Box Int Toys SLU,TG328,Traditional Toys and Games,Spain,,2
Maison Joseph Battat Ltd,TG331,Traditional Toys and Games,Canada,,2
Malte Haaning Plastic A/S,TG332,Traditional Toys and Games,Denmark,,3
Mattel Inc,TG340,Traditional Toys and Games,United States,,32
May Cheong Group,TG341,Traditional Toys and Games,Hong Kong SAR China,,19
Mcfarlane Worldwide Inc,TG343,Traditional Toys and Games,United States,,3
Melissa & Doug LLC,TG349,Traditional Toys and Games,United States,,8
Mimiworld Co Ltd,TG353,Traditional Toys and Games,South Korea,,2
Mirae N Co Ltd,TG356,Traditional Toys and Games,South Korea,,4
Moltó y Cía SA,TG358,Traditional Toys and Games,Spain,,3
Mondo SpA,TG359,Traditional Toys and Games,Italy,,2
Mookie Toys Ltd,TG360,Traditional Toys and Games,United Kingdom,,2
Moose Toys Pty Ltd,TG361,Traditional Toys and Games,Australia,,19
NICI GmbH,TG378,Traditional Toys and Games,Germany,,5
National Geographic Society,TG370,Traditional Toys and Games,United States,,3
New Bright Industrial Co Ltd,TG373,Traditional Toys and Games,Hong Kong SAR China,,5
Peg Perego Pines SpA,TG396,Traditional Toys and Games,Italy,,5
People Co Ltd,TG400,Traditional Toys and Games,Japan,,2
Pilot Ink Co Ltd,TG406,Traditional Toys and Games,Japan,,2
PlayGo Toys Mfg Ltd,TG412,Traditional Toys and Games,Hong Kong SAR China,,6
Playgro PTY Ltd,TG413,Traditional Toys and Games,Australia,,5
Playmates Toys Ltd,TG414,Traditional Toys and Games,Hong Kong SAR China,,18
Prime Time Toys LLC,TG425,Traditional Toys and Games,United States,,2
Private Label,TG426,Traditional Toys and Games,United States,,17
Quercetti & C SpA,TG431,Traditional Toys and Games,Italy,,3
Radio Flyer Inc,TG433,Traditional Toys and Games,United States,,2
Rainbow Spa,TG435,Traditional Toys and Games,Italy,,2
Rainbow Srl,TG436,Traditional Toys and Games,Italy,,3
Rastar Group,TG438,Traditional Toys and Games,China,,8
Ravensburger AG,TG439,Traditional Toys and Games,Germany,,16
Redwood Ventures Ltd LLC,TG446,Traditional Toys and Games,United States,,2
RenArt,TG449,Traditional Toys and Games,Belgium,,2
Revell Carrera GmbH,TG450,Traditional Toys and Games,Germany,,12
Roi Visual Co Ltd,TG452,Traditional Toys and Games,South Korea,,4
Rovio Entertainment Ltd,TG453,Traditional Toys and Games,Finland,,2
Rubie's Costume Co Inc,TG455,Traditional Toys and Games,United States,,7
SES Nederland BV,TG467,Traditional Toys and Games,Netherlands,,4
Sanrio Co Ltd,TG460,Traditional Toys and Games,Japan,,11
Schleich GmbH,TG461,Traditional Toys and Games,Germany,,5
Schmidt Spiele GmbH,TG462,Traditional Toys and Games,Germany,,2
Science4you SA,TG463,Traditional Toys and Games,Portugal,,2
Selecta Spielzeug AG,TG465,Traditional Toys and Games,Germany,,2
Shantou MZ Model Co Ltd,TG476,Traditional Toys and Games,China,,3
Sieper GmbH,TG478,Traditional Toys and Games,Germany,,4
Silverlit Toys Manufactory Ltd,TG480,Traditional Toys and Games,Hong Kong SAR China,,14
Simba-Dickie Group GmbH,TG481,Traditional Toys and Games,Germany,,19
Simbat Toys OOO,TG483,Traditional Toys and Games,Russia,,2
Sonokong Co Ltd,TG488,Traditional Toys and Games,South Korea,,1
"Step 2 Co LLC, The",TG497,Traditional Toys and Games,United States,,9
Sunman Group,TG502,Traditional Toys and Games,Turkey,,1
Syma Model Aircraft Industrial Co Ltd,TG505,Traditional Toys and Games,China,,2
Tamiya Inc,TG508,Traditional Toys and Games,Japan,,5
Theo Klein GmbH,TG516,Traditional Toys and Games,Germany,,3
Tiny Love Ltd,TG523,Traditional Toys and Games,Israel,,3
Tomy Co Ltd,TG527,Traditional Toys and Games,Japan,,26
Toy State Industrial Ltd,TG531,Traditional Toys and Games,Hong Kong SAR China,,13
ToyKraft Pvt Ltd,TG533,Traditional Toys and Games,India,,2
Trefl SA,TG541,Traditional Toys and Games,Poland,,3
Tru Kids Inc,TG544,Traditional Toys and Games,United States,,2
Tucker Toys Inc,TG546,Traditional Toys and Games,United States,,2
Ty Inc,TG548,Traditional Toys and Games,United States,,14
VTech Holdings Ltd,TG557,Traditional Toys and Games,Hong Kong SAR China,,29
Vulli SAS,TG558,Traditional Toys and Games,France,,2
Wader & Wozniak Sp zoo,TG560,Traditional Toys and Games,Poland,,2
Welly Die Casting Fty Ltd,TG561,Traditional Toys and Games,Hong Kong SAR China,,4
Wham-O Inc,TG562,Traditional Toys and Games,United States,,2
Wiener Spielkartenfabrik Ferd Piatnik & Söhne,TG564,Traditional Toys and Games,Austria,,2
WowWee Group Ltd,TG574,Traditional Toys and Games,Hong Kong SAR China,,4
XinYu Art Toys Co Ltd,TG576,Traditional Toys and Games,China,,2
Zapf Creation AG,TG580,Traditional Toys and Games,Germany,,12
Zuru Inc,TG588,Traditional Toys and Games,New Zealand,,3
iCom SpA,TG231,Traditional Toys and Games,Chile,,3
Aegean Airlines SA,TR1,Travel Modes,Greece,,4
Aeroenlaces Nacionales SA de CV,TR3,Travel Modes,Mexico,,2
Aeroflot Rossiyskiye Avialinii PAO,TR4,Travel Modes,Russia,,1
Aerolíneas Argentinas SA,TR5,Travel Modes,Argentina,,1
Aerovias de Mexico SA de CV,TR7,Travel Modes,Mexico,,3
Air Arabia PJSC,TR10,Travel Modes,United Arab Emirates,,3
Air Canada Inc,TR11,Travel Modes,Canada,,3
Air China Co Ltd,TR12,Travel Modes,China,,3
Air France-KLM Group SA,TR14,Travel Modes,France,,36
Air India Ltd,TR15,Travel Modes,India,,2
Air New Zealand Ltd,TR18,Travel Modes,New Zealand,,3
Air Philippines Corp,TR21,Travel Modes,Philippines,,1
Al Tayyar Travel Group Holding Co,TR27,Travel Modes,Saudi Arabia,,2
Alaska Airlines Inc,TR28,Travel Modes,United States,,2
American Airlines Group Inc,TR33,Travel Modes,United States,,9
Anex Tourism Group,TR34,Travel Modes,Turkey,,2
Arkia Israeli Airlines Ltd,TR36,Travel Modes,Israel,,1
Asiana Airlines Inc,TR39,Travel Modes,South Korea,,2
Azul Linhas Aéreas Brasileiras SA,TR41,Travel Modes,Brazil,,1
Bangkok Airways PCL,TR42,Travel Modes,Thailand,,1
Bulgarian Airways Group EAD,TR47,Travel Modes,Bulgaria,,1
Cathay Pacific Airways Ltd,TR48,Travel Modes,Hong Kong SAR China,,20
Cebu Air Inc,TR49,Travel Modes,Philippines,,1
Cemair (Pty) Ltd,TR50,Travel Modes,South Africa,,1
China Airlines Ltd,TR51,Travel Modes,Taiwan,,2
China Eastern Airlines Corp Ltd,TR52,Travel Modes,China,,3
China Southern Airlines Co Ltd,TR53,Travel Modes,China,,3
Compagnia Aerea Italiana SpA,TR56,Travel Modes,Italy,,3
Condor Flugdienst GmbH,TR57,Travel Modes,Germany,,2
Copa Holdings SA,TR58,Travel Modes,Panama,,8
Delta Air Lines Inc,TR61,Travel Modes,United States,,8
Dubai Aviation Corp,TR62,Travel Modes,United Arab Emirates,,7
EgyptAir Co,TR68,Travel Modes,Egypt,,3
El Al Israel Airlines Ltd,TR69,Travel Modes,Israel,,1
Emirates Group Plc,TR70,Travel Modes,United Arab Emirates,,32
Enter Air Sp zoo,TR71,Travel Modes,Poland,,1
Ethiopian Airlines Group,TR72,Travel Modes,Ethiopia,,2
Etihad Aviation Group,TR73,Travel Modes,United Arab Emirates,,22
FLC Group,TR76,Travel Modes,Vietnam,,1
Finnair Oyj,TR75,Travel Modes,Finland,,2
GOL Linhas Aéreas Inteligentes SA,TR85,Travel Modes,Brazil,,3
Garuda Indonesia Tbk PT,TR81,Travel Modes,Indonesia,,3
Globalia Group,TR84,Travel Modes,Spain,,3
Gulf Air Co LLC,TR87,Travel Modes,Bahrain,,2
HiSky Europe SRL,TR92,Travel Modes,Romania,,1
Hong Kong Airlines Ltd,TR95,Travel Modes,Hong Kong SAR China,,1
InterGlobe Enterprises Pvt Ltd,TR99,Travel Modes,India,,2
International Consolidated Airlines Group SA,TR100,Travel Modes,Spain,,27
Israir Airlines & Tourism Ltd,TR102,Travel Modes,Israel,,1
Italia Trasporto Aereo SpA,TR103,Travel Modes,Italy,,6
Japan Airlines Co Ltd,TR104,Travel Modes,Japan,,4
Jet2 Plc,TR106,Travel Modes,United Kingdom,,3
JetBlue Airways Corp,TR107,Travel Modes,United States,,4
JetSMART Airlines SpA,TR109,Travel Modes,Chile,,5
Jetstar Asia Airways Pte Ltd,TR110,Travel Modes,Singapore,,2
Jin Air Co Ltd,TR113,Travel Modes,South Korea,,2
Kenya Airways Ltd,TR115,Travel Modes,Kenya,,1
Korean Air Lines Co Ltd,TR116,Travel Modes,South Korea,,2
LATAM Airlines Group SA,TR117,Travel Modes,Chile,,7
Lion Air Group,TR118,Travel Modes,Indonesia,,4
Malaysia Airlines Berhad,TR119,Travel Modes,Malaysia,,3
National Air Services (NAS),TR121,Travel Modes,Saudi Arabia,,2
Nok Airlines PCL,TR125,Travel Modes,Thailand,,1
Norwegian Air Shuttle ASA,TR127,Travel Modes,Norway,,11
Pegasus Hava Tasimaciligi AS,TR130,Travel Modes,Turkey,,4
Philippine Airlines Inc,TR131,Travel Modes,Philippines,,2
Polskie Linie Lotnicze LOT SA (PPL LOT SA),TR132,Travel Modes,Poland,,4
Qantas Airways Ltd,TR135,Travel Modes,Australia,,3
Qatar Airways Group Plc,TR136,Travel Modes,Qatar,,22
Royal Air Maroc SA,TR141,Travel Modes,Morocco,,2
Ryanair Holdings Plc,TR142,Travel Modes,Ireland,,24
S7 Group ZAO,TR143,Travel Modes,Russia,,1
