,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
France,Travel Modes,Retail Value RSP,EUR million,Current Prices,205.7,25.0,22593.6
Germany,Travel Modes,Retail Value RSP,EUR million,Current Prices,162.7,21.3,29552.2
Greece,Travel Modes,Retail Value RSP,EUR million,Current Prices,423.7,39.3,5118.8
Ireland,Travel Modes,Retail Value RSP,EUR million,Current Prices,323.3,33.5,3022.1
Italy,Travel Modes,Retail Value RSP,EUR million,Current Prices,266.5,29.7,14467.2
Netherlands,Travel Modes,Retail Value RSP,EUR million,Current Prices,319.3,33.2,11603.3
Norway,Travel Modes,Retail Value RSP,NOK million,Current Prices,159.9,21.0,38528.3
Portugal,Travel Modes,Retail Value RSP,EUR million,Current Prices,318.5,33.1,2711.9
Spain,Travel Modes,Retail Value RSP,EUR million,Current Prices,246.3,28.2,14111.6
Sweden,Travel Modes,Retail Value RSP,SEK million,Current Prices,309.1,32.5,43535.2
Switzerland,Travel Modes,Retail Value RSP,CHF million,Current Prices,136.4,18.8,4726.9
Turkey,Travel Modes,Retail Value RSP,TRY million,Current Prices,3010.3,98.9,1332281.8
United Kingdom,Travel Modes,Retail Value RSP,GBP million,Current Prices,425.0,39.3,34299.8
,,,,,,,
Research Sources:,,,,,,,
Travel: Euromonitor from trade sources/national statistics,,,,,,,
,,,,,,,
Date Exported (GMT): 2/4/2026 12:20:25 PM,,,,,,,
© Euromonitor International,,,,,,,
