,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
Austria,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,110.9,16.1,6165.5
Belgium,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,128.3,18.0,1564.9
Denmark,Lodging (Destination),Retail Value RSP,DKK million,Current Prices,154.3,20.5,16026.3
Finland,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,80.3,12.5,965.1
France,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,213.2,25.6,31645.1
Germany,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,117.6,16.8,19367.7
Greece,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,509.8,43.6,14535.9
Ireland,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,199.1,24.5,2583.1
Italy,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,158.6,20.9,29967.7
Netherlands,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,123.8,17.5,5646.2
Norway,Lodging (Destination),Retail Value RSP,NOK million,Current Prices,172.6,22.2,26664.5
Portugal,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,255.6,28.9,6205.6
Spain,Lodging (Destination),Retail Value RSP,EUR million,Current Prices,383.1,37.0,31234.2
Sweden,Lodging (Destination),Retail Value RSP,SEK million,Current Prices,149.5,20.1,29237.8
Switzerland,Lodging (Destination),Retail Value RSP,CHF million,Current Prices,90.4,13.7,2498.4
Turkey,Lodging (Destination),Retail Value RSP,TRY million,Current Prices,2599.9,93.3,883040.8
United Kingdom,Lodging (Destination),Retail Value RSP,GBP million,Current Prices,338.6,34.4,29189.0
,,,,,,,
Research Sources:,,,,,,,
Travel: Euromonitor from trade sources/national statistics,,,,,,,
,,,,,,,
Date Exported (GMT): 2/4/2026 12:25:55 PM,,,,,,,
© Euromonitor International,,,,,,,
